filename,ipBasedUrl,ageDomainName,nonMatchingDomain,nonModalDomain,useHTML,numATags,numDomains,numDots,useJavaScript,urlImage,numFormTags,phishing
Phishing97,0,0,1,0,1,6,3,3,0,1,0,1
Phishing98,0,0,0,0,1,4,3,3,0,1,0,1
Phishing99,0,0,0,0,1,4,3,3,0,1,0,1
Phishing100,1,0,1,0,1,3,3,3,0,1,0,1
Phishing101,0,0,1,0,1,1,2,3,0,0,1,1
Phishing102,0,0,0,0,1,1,1,4,0,0,0,1
Phishing103,0,0,0,0,1,1,1,4,0,0,0,1
Phishing104,0,0,0,0,1,1,1,4,0,0,0,1
Phishing105,0,0,0,0,1,1,1,4,0,0,0,1
Phishing106,0,0,1,0,1,2,3,8,0,1,0,1
Phishing107,1,0,1,0,1,3,2,3,0,1,0,1
Phishing108,0,0,0,0,1,9,4,5,0,1,0,1
Phishing109,0,0,0,0,1,9,4,5,0,1,0,1
Phishing110,1,0,1,0,1,3,4,6,0,1,0,1
Phishing111,0,0,1,0,1,4,3,6,0,1,0,1
Phishing112,0,0,0,0,1,1,1,4,0,0,0,1
Phishing113,0,0,1,0,1,1,2,7,0,0,0,1
Phishing114,0,0,1,0,1,1,2,2,0,0,0,1
Phishing115,0,0,1,0,1,1,2,2,0,0,0,1
Phishing116,0,0,1,0,1,1,2,2,0,0,0,1
Phishing117,0,0,1,0,1,1,2,3,0,0,0,1
Phishing118,0,0,1,0,1,1,2,3,0,0,0,1
Phishing119,1,0,1,0,1,2,2,3,0,1,0,1
Phishing120,0,0,0,0,1,1,1,3,0,0,0,1
Phishing121,0,0,1,0,1,1,2,3,0,0,0,1
Phishing122,0,0,1,0,1,2,5,8,0,1,0,1
Phishing123,0,0,0,0,1,21,3,7,0,1,0,1
Phishing124,0,0,1,0,1,1,2,3,0,0,0,1
Phishing125,0,0,1,0,1,1,2,3,0,0,0,1
Phishing126,1,0,1,0,1,4,2,3,0,1,0,1
Phishing127,1,0,1,1,1,5,2,3,0,1,0,1
Phishing128,1,0,1,1,1,5,3,4,0,1,0,1
Phishing129,0,0,1,0,1,1,2,4,0,0,0,1
Phishing130,1,0,1,0,1,2,3,4,0,0,0,1
Phishing131,1,0,1,1,1,5,2,3,0,1,0,1
Phishing132,0,0,0,0,1,1,1,4,0,0,0,1
Phishing133,0,0,0,0,1,1,1,4,0,0,0,1
Phishing134,0,0,0,0,1,1,1,4,0,0,0,1
Phishing135,0,0,0,0,1,1,1,4,0,0,0,1
Phishing136,0,0,0,0,1,1,1,4,0,0,0,1
Phishing137,0,0,0,0,1,21,3,7,0,1,0,1
Phishing138,0,0,1,0,1,1,2,4,0,0,0,1
Phishing139,0,0,1,0,1,1,2,2,0,0,0,1
Phishing140,0,0,0,0,1,21,3,7,0,1,0,1
Phishing141,0,0,1,0,1,7,3,3,0,1,0,1
Phishing142,1,0,0,0,1,1,1,5,0,0,0,1
Phishing143,1,0,0,0,1,1,1,5,0,0,0,1
Phishing144,1,0,0,0,1,1,1,5,0,0,0,1
Phishing145,1,0,0,0,1,1,1,5,0,0,0,1
Phishing146,0,0,0,0,1,1,2,3,0,0,0,1
Phishing147,0,0,1,0,1,1,2,2,0,0,0,1
Phishing148,0,0,1,0,1,7,2,3,0,1,0,1
Phishing149,1,0,1,0,1,10,3,5,0,1,0,1
Phishing150,0,0,0,0,1,21,3,8,0,1,0,1
Phishing151,0,0,1,0,1,2,5,9,0,1,0,1
Phishing152,1,0,1,0,1,5,3,4,1,1,0,1
Phishing153,0,0,0,0,1,1,2,3,0,0,0,1
Phishing154,0,0,1,0,1,11,5,6,0,1,0,1
Phishing155,1,0,1,0,1,6,3,4,0,1,0,1
Phishing156,0,0,1,0,1,2,5,8,0,1,0,1
Phishing157,0,0,1,0,1,2,5,8,0,1,0,1
Phishing158,1,0,0,0,1,1,1,5,0,0,0,1
Phishing159,0,0,0,0,1,8,2,5,0,1,0,1
Phishing160,1,0,0,1,1,1,3,5,0,1,0,1
Phishing161,1,0,0,0,1,1,1,3,0,0,0,1
Phishing162,1,0,0,0,1,2,2,5,0,0,0,1
Phishing163,0,0,1,0,1,2,4,6,0,1,0,1
Phishing164,0,0,0,0,1,3,1,3,0,1,0,1
Phishing165,0,0,1,0,1,2,2,2,0,0,0,1
Phishing166,0,0,0,1,1,3,2,3,0,1,0,1
Phishing167,1,0,0,0,1,1,2,3,0,0,0,1
Phishing168,1,0,0,1,1,1,2,5,0,1,0,1
Phishing169,0,0,1,0,1,1,2,3,0,1,0,1
Phishing170,1,0,1,0,1,1,2,3,0,1,0,1
Phishing171,0,0,0,0,1,3,1,2,0,1,0,1
Phishing172,0,0,1,0,1,3,3,6,0,1,0,1
Phishing173,1,0,1,0,1,2,2,4,0,0,0,1
Phishing174,1,0,1,0,1,2,2,4,0,0,0,1
Phishing175,1,0,0,0,1,1,2,3,0,0,0,1
Phishing176,1,0,0,0,1,4,2,8,0,1,0,1
Phishing177,1,0,1,0,1,3,2,5,0,1,0,1
Phishing178,0,0,0,0,1,1,2,3,0,1,0,1
Phishing179,0,0,0,0,1,21,3,8,0,1,0,1
Phishing180,1,0,1,0,1,1,3,3,0,1,0,1
Phishing181,1,0,1,0,1,1,2,3,0,1,0,1
Phishing182,0,0,1,0,1,1,1,3,0,1,0,1
Phishing183,0,0,1,0,1,1,2,4,0,1,0,1
Phishing184,1,0,0,0,1,1,2,3,0,0,0,1
Phishing185,0,0,1,0,1,4,2,5,0,1,0,1
Phishing186,0,0,1,0,1,2,2,3,0,1,0,1
Phishing187,1,0,0,1,1,4,2,5,0,1,0,1
Phishing188,0,0,1,0,1,1,2,3,0,1,0,1
Phishing189,1,0,1,0,1,2,2,4,0,0,0,1
Phishing190,1,0,0,0,1,1,1,5,0,0,0,1
Phishing191,0,0,1,0,1,1,3,2,0,0,0,1
Phishing192,1,0,0,0,1,1,1,5,0,0,0,1
Phishing193,0,0,1,0,1,1,2,4,0,1,0,1
Phishing194,0,0,1,0,1,1,2,4,0,1,0,1
Phishing195,1,0,0,0,1,1,2,3,0,0,0,1
Phishing196,1,0,1,0,1,2,2,5,0,0,0,1
Phishing197,0,0,1,0,1,1,2,5,0,1,0,1
Phishing198,1,0,1,0,1,3,3,4,0,1,0,1
Phishing199,1,0,1,0,1,3,3,4,0,1,0,1
Phishing200,1,0,0,1,1,4,2,4,0,1,0,1
Phishing201,0,0,1,0,1,1,1,3,0,1,0,1
Phishing202,0,0,1,0,1,1,2,3,0,1,0,1
Phishing203,1,0,1,0,1,1,4,5,0,1,0,1
Phishing204,0,0,1,0,1,1,2,3,0,1,0,1
Phishing205,1,0,1,0,1,1,4,5,0,1,0,1
Phishing206,0,0,1,0,1,1,2,3,0,1,0,1
Phishing207,0,0,1,0,1,1,2,3,0,1,0,1
Phishing208,0,0,1,0,1,3,2,4,0,1,0,1
Phishing209,1,0,1,0,1,2,2,4,0,0,0,1
Phishing210,1,0,0,0,1,1,2,3,0,0,0,1
Phishing211,1,0,1,1,1,5,2,3,0,1,0,1
Phishing212,1,0,1,0,1,1,2,5,0,0,0,1
Phishing213,0,0,1,0,1,1,2,3,0,0,0,1
Phishing214,0,0,1,0,1,2,4,3,0,1,0,1
Phishing215,0,0,1,0,1,1,1,3,0,0,0,1
Phishing216,0,0,1,0,1,1,3,8,0,1,0,1
Phishing217,0,0,1,0,1,1,3,9,0,1,0,1
Phishing218,0,0,1,0,1,1,2,3,0,0,0,1
Phishing219,0,0,0,1,1,1,2,3,0,1,0,1
Phishing220,0,0,0,1,1,1,2,3,0,1,0,1
Phishing221,0,0,1,0,1,13,3,4,0,1,0,1
Phishing222,1,0,1,0,1,1,2,5,0,0,0,1
Phishing223,0,0,1,0,1,11,6,5,1,1,0,1
Phishing224,1,0,0,0,1,1,2,3,0,0,0,1
Phishing225,1,0,1,0,1,1,2,5,0,0,0,1
Phishing226,1,0,1,0,1,2,3,3,0,0,0,1
Phishing227,1,0,1,0,1,1,3,11,0,1,0,1
Phishing228,1,0,1,0,1,1,3,11,0,1,0,1
Phishing229,1,0,0,1,1,4,2,4,0,1,0,1
Phishing230,0,0,1,0,1,2,2,3,0,1,0,1
Phishing231,0,0,1,0,1,1,2,3,0,1,0,1
Phishing232,1,0,0,0,1,1,1,5,0,0,0,1
Phishing233,1,0,0,0,1,1,1,5,0,0,0,1
Phishing234,0,0,0,0,0,0,0,0,0,0,0,1
Phishing235,0,0,1,0,1,7,2,3,0,1,0,1
Phishing236,0,0,1,0,1,7,2,3,0,1,0,1
Phishing237,0,0,1,1,1,1,3,6,0,1,0,1
Phishing238,0,0,1,0,1,13,3,4,0,1,0,1
Phishing239,1,0,1,0,1,3,3,5,0,1,0,1
Phishing240,0,0,1,0,1,7,2,3,0,1,0,1
Phishing241,0,0,1,1,1,1,4,7,0,1,0,1
Phishing242,0,0,1,0,1,7,2,3,0,1,0,1
Phishing243,0,0,0,0,1,8,3,5,0,1,1,1
Phishing244,0,0,0,1,1,1,2,4,0,1,0,1
Phishing245,1,0,1,0,1,2,2,5,0,1,0,1
Phishing246,0,0,1,0,1,13,3,4,0,1,0,1
Phishing247,0,0,1,0,1,1,1,3,0,0,0,1
Phishing248,0,0,1,0,1,2,2,3,0,1,0,1
Phishing249,0,0,0,0,1,4,2,2,0,0,0,1
Phishing250,0,0,0,0,1,4,2,2,0,0,0,1
Phishing251,0,0,1,0,1,3,2,4,0,1,0,1
Phishing252,0,0,0,1,1,3,3,3,0,1,0,1
Phishing253,0,0,0,1,1,3,3,3,0,1,0,1
Phishing254,0,0,0,1,1,3,3,3,0,1,0,1
Phishing255,0,0,0,0,1,4,2,2,0,0,0,1
Phishing256,0,0,0,0,1,2,3,3,0,1,0,1
Phishing257,0,0,0,1,1,3,3,3,0,1,0,1
Phishing258,0,0,0,0,1,10,4,5,0,1,0,1
Phishing259,0,0,0,0,0,0,2,8,0,0,0,1
Phishing260,0,0,0,0,1,4,2,2,0,0,0,1
Phishing261,1,0,1,0,1,2,3,4,0,1,0,1
Phishing262,0,0,1,0,1,1,2,6,0,0,0,1
Phishing263,0,0,1,0,1,9,5,6,0,1,0,1
Phishing264,1,0,1,0,1,1,2,4,0,0,0,1
Phishing265,0,0,0,0,1,4,2,2,0,0,0,1
Phishing266,0,0,1,0,1,1,2,4,0,0,0,1
Phishing267,0,0,0,0,1,2,1,2,0,1,0,1
Phishing268,0,0,1,0,1,13,3,4,0,1,0,1
Phishing269,0,0,1,0,1,1,3,5,0,1,0,1
Phishing270,1,0,0,0,1,1,2,3,0,0,0,1
Phishing271,0,0,1,0,1,1,3,5,0,1,0,1
Phishing272,0,0,1,0,1,1,3,5,0,1,0,1
Phishing273,0,0,0,0,1,4,2,2,0,0,0,1
Phishing274,0,0,1,0,1,1,1,2,0,1,0,1
Phishing275,0,0,1,0,1,1,3,5,0,1,0,1
Phishing276,1,0,0,0,1,1,4,4,0,1,0,1
Phishing277,1,0,0,0,1,13,4,6,0,1,0,1
Phishing278,1,0,0,0,1,1,1,5,0,0,0,1
Phishing279,1,0,0,0,1,1,1,5,0,0,0,1
Phishing280,0,0,1,0,1,2,3,3,0,1,0,1
Phishing281,0,0,1,0,1,1,2,7,0,1,0,1
Phishing282,0,0,1,0,1,1,3,10,0,1,0,1
Phishing283,0,0,0,0,1,2,2,4,0,0,0,1
Phishing284,0,0,1,0,1,1,2,5,0,1,0,1
Phishing285,0,0,0,0,1,4,2,2,0,0,0,1
Phishing286,0,0,1,0,1,1,2,5,0,0,0,1
Phishing287,0,0,0,0,1,5,2,2,0,0,0,1
Phishing288,0,0,1,1,1,4,2,3,0,1,0,1
Phishing289,0,0,1,0,1,8,3,4,0,1,0,1
Phishing290,0,0,1,0,1,2,3,3,0,1,0,1
Phishing291,0,0,1,0,1,2,3,3,0,1,0,1
Phishing292,0,0,1,0,1,13,3,4,0,1,0,1
Phishing293,1,0,0,1,1,5,4,3,1,1,0,1
Phishing294,1,0,1,0,1,13,4,3,0,1,0,1
Phishing295,0,0,0,0,1,5,2,2,0,0,0,1
Phishing296,1,0,1,0,1,13,4,3,0,1,0,1
Phishing297,0,0,0,1,1,3,3,3,0,1,0,1
Phishing298,1,0,1,0,1,2,3,4,0,1,0,1
Phishing299,1,0,0,0,1,1,2,3,0,0,0,1
Phishing300,1,0,0,1,1,3,2,3,0,1,0,1
Phishing301,0,0,0,1,1,4,2,7,0,1,0,1
Phishing302,1,0,1,0,1,2,3,4,0,1,0,1
Phishing303,1,0,1,0,1,2,3,4,0,1,0,1
Phishing304,1,0,1,0,1,1,2,6,0,0,0,1
Phishing305,1,0,1,0,1,2,2,5,0,1,0,1
Phishing306,0,0,1,0,1,2,3,4,0,1,0,1
Phishing307,1,0,0,0,1,1,1,5,0,0,0,1
Phishing308,1,0,0,1,1,8,2,30,0,1,0,1
Phishing309,1,0,0,0,1,2,2,5,0,1,0,1
Phishing310,0,0,1,0,1,2,1,5,0,1,0,1
Phishing311,0,0,1,0,1,1,2,5,0,0,0,1
Phishing312,1,0,0,0,1,2,2,5,0,1,0,1
Phishing313,0,0,0,0,1,2,1,2,0,0,0,1
Phishing314,0,0,1,0,1,1,2,4,0,0,0,1
Phishing315,1,0,0,1,1,5,5,4,0,1,1,1
Phishing316,1,0,0,0,1,6,7,4,0,1,0,1
Phishing317,0,0,0,0,1,1,2,3,0,1,0,1
Phishing318,1,0,1,0,1,3,3,3,0,1,0,1
Phishing319,1,0,1,0,1,2,2,7,0,1,0,1
Phishing320,1,0,1,0,1,2,2,7,0,1,0,1
Phishing321,0,0,1,0,1,4,1,3,0,1,0,1
Phishing322,0,0,0,0,1,2,1,2,0,0,0,1
Phishing323,0,0,1,0,1,1,2,2,0,0,0,1
Phishing324,1,0,0,0,1,1,1,5,0,0,0,1
Phishing325,0,0,0,0,1,2,1,2,0,0,0,1
Phishing326,0,0,0,0,1,2,1,2,0,0,0,1
Phishing327,0,0,0,0,1,1,3,5,0,1,0,1
Phishing328,1,0,1,0,1,3,3,3,0,1,0,1
Phishing329,0,0,1,0,1,1,2,2,0,0,0,1
Phishing330,1,0,1,0,1,3,3,3,0,1,0,1
Phishing331,0,0,1,0,1,2,2,3,0,0,0,1
Phishing332,0,0,0,1,1,1,2,5,0,1,0,1
Phishing333,1,0,1,0,1,2,3,4,0,1,0,1
Phishing334,1,0,0,1,1,4,3,4,0,1,0,1
Phishing335,0,0,1,0,1,1,3,6,0,1,0,1
Phishing336,0,0,0,0,1,1,0,0,0,0,0,1
Phishing337,0,0,1,1,1,10,3,3,0,1,0,1
Phishing338,0,0,1,0,1,1,1,3,0,0,0,1
Phishing339,0,0,0,0,1,2,2,4,0,1,0,1
Phishing340,0,0,0,0,1,19,4,3,0,1,0,1
Phishing341,1,0,1,0,1,1,2,5,0,0,0,1
Phishing342,0,0,0,0,1,4,3,3,0,1,0,1
Phishing343,0,0,0,0,1,2,1,2,0,0,0,1
Phishing344,1,0,1,1,1,5,3,5,0,1,0,1
Phishing345,0,0,1,1,1,4,3,5,0,0,0,1
Phishing346,1,0,0,1,1,5,4,5,1,1,0,1
Phishing347,0,0,1,1,1,5,3,3,0,1,0,1
Phishing348,0,0,0,0,1,7,1,2,0,1,0,1
Phishing349,0,0,0,0,1,19,4,3,0,1,0,1
Phishing350,0,0,0,0,0,0,0,0,0,0,0,1
Phishing351,0,0,0,0,0,0,0,0,0,0,0,1
Phishing352,0,0,1,0,1,13,2,3,0,1,0,1
Phishing353,1,0,0,1,1,4,3,3,0,0,0,1
Phishing354,0,0,1,0,1,2,2,3,0,1,0,1
Phishing355,0,0,1,0,1,2,2,4,0,0,0,1
Phishing356,1,0,1,0,1,1,2,3,0,0,0,1
Phishing357,1,0,1,0,1,3,3,3,0,1,0,1
Phishing358,1,0,0,0,1,4,3,3,0,1,0,1
Phishing359,1,0,0,0,1,1,2,3,0,0,0,1
Phishing360,1,0,0,0,1,2,2,4,0,1,0,1
Phishing361,0,0,0,0,1,4,2,5,0,1,1,1
Phishing362,0,0,0,0,1,19,4,3,0,1,0,1
Phishing363,1,0,1,0,1,1,2,3,0,0,0,1
Phishing364,1,0,0,0,1,6,3,4,0,1,0,1
Phishing365,0,0,0,0,1,19,4,3,0,1,0,1
Phishing366,1,0,1,1,1,5,2,6,0,1,0,1
Phishing367,1,0,0,0,1,3,18,2,0,1,0,1
Phishing368,1,0,0,0,1,3,18,2,0,1,0,1
Phishing369,1,0,1,0,1,12,5,4,0,1,0,1
Phishing370,0,0,1,0,1,6,1,3,0,1,0,1
Phishing371,0,0,0,0,1,19,4,3,0,1,0,1
Phishing372,0,0,0,0,1,2,1,2,0,0,0,1
Phishing373,0,0,0,0,1,19,4,3,0,1,0,1
Phishing374,1,0,0,0,1,2,2,4,0,1,0,1
Phishing375,0,0,1,1,1,4,3,4,0,0,0,1
Phishing376,1,0,1,0,1,13,4,30,0,1,0,1
Phishing377,1,0,0,0,1,4,2,5,0,1,0,1
Phishing378,0,0,1,0,1,13,3,4,0,1,0,1
Phishing379,0,0,1,0,1,13,3,4,0,1,0,1
Phishing380,0,0,1,0,1,9,5,6,0,1,0,1
Phishing381,0,0,0,0,1,2,1,2,0,0,0,1
Phishing382,0,0,1,0,1,9,5,6,0,1,0,1
Phishing383,0,0,1,0,1,6,1,3,0,1,0,1
Phishing384,0,0,1,0,1,3,1,4,0,1,0,1
Phishing385,0,0,1,0,1,9,5,6,0,1,0,1
Phishing386,1,0,1,0,1,1,3,4,0,0,0,1
Phishing387,0,0,0,0,1,3,1,2,0,0,0,1
Phishing388,1,0,0,0,1,1,1,5,0,0,0,1
Phishing389,0,0,1,0,1,1,3,3,0,1,0,1
Phishing390,0,0,1,0,1,13,3,4,0,1,0,1
Phishing391,1,0,0,0,1,21,3,4,0,1,0,1
Phishing392,1,0,1,0,1,1,3,4,0,1,0,1
Phishing393,1,0,1,0,1,1,3,4,0,1,0,1
Phishing394,1,0,1,0,1,1,3,4,0,1,0,1
Phishing395,1,0,0,0,1,1,1,5,0,0,0,1
Phishing396,1,0,0,0,1,1,1,5,0,0,0,1
Phishing397,0,0,1,0,1,1,2,2,0,0,0,1
Phishing398,1,0,1,0,1,2,2,4,0,0,0,1
Phishing399,1,0,1,0,1,1,2,6,0,1,0,1
Phishing400,1,0,1,0,1,1,2,6,0,1,0,1
Phishing401,1,0,1,0,1,12,3,4,0,1,0,1
Phishing402,1,0,0,0,0,0,1,5,0,0,0,1
Phishing403,1,0,0,0,1,4,5,5,0,1,0,1
Phishing404,0,0,1,0,1,1,2,5,0,0,0,1
Phishing405,1,0,0,0,1,1,1,4,0,1,1,1
Phishing406,0,0,0,0,1,8,1,3,0,1,0,1
Phishing407,0,0,0,0,1,8,2,3,0,1,0,1
Phishing408,0,0,0,0,1,1,1,2,0,0,0,1
Phishing409,1,0,0,0,1,2,3,6,0,1,0,1
Phishing410,0,0,0,0,1,1,1,2,0,0,0,1
Phishing411,1,0,1,0,1,12,3,4,0,1,0,1
Phishing412,0,0,0,0,1,1,1,2,0,0,0,1
Phishing413,0,0,0,1,1,13,2,3,0,1,0,1
Phishing414,0,0,1,0,1,6,1,3,0,1,0,1
Phishing415,0,0,0,0,0,0,0,0,0,0,0,1
Phishing416,0,0,0,0,0,0,0,0,0,0,0,1
Phishing417,0,0,0,0,1,2,1,2,0,0,0,1
Phishing418,0,0,1,0,1,6,1,3,0,1,0,1
Phishing419,0,0,0,0,1,6,1,2,0,1,0,1
Phishing420,0,0,1,0,0,1,4,3,1,0,0,1
Phishing421,0,0,1,0,1,1,4,6,0,1,0,1
Phishing422,0,0,0,0,1,3,1,3,0,0,0,1
Phishing423,0,0,0,0,1,8,3,3,0,1,0,1
Phishing424,1,0,0,0,1,0,5,3,0,0,0,1
Phishing425,1,0,1,0,1,12,3,4,0,1,0,1
Phishing426,0,0,0,0,1,19,4,3,0,1,0,1
Phishing427,1,0,1,1,1,5,2,6,0,1,0,1
Phishing428,0,0,0,1,1,1,2,3,0,1,0,1
Phishing429,0,0,0,0,1,2,2,3,0,0,0,1
Phishing430,0,0,1,0,1,7,3,3,0,1,0,1
Phishing431,0,0,1,0,1,7,3,3,0,1,0,1
Phishing432,0,0,0,0,1,2,2,3,0,0,0,1
Phishing433,0,0,0,0,1,2,2,3,0,0,0,1
Phishing434,0,0,0,0,1,19,4,3,0,1,0,1
Phishing435,0,0,1,0,1,5,5,4,1,1,0,1
Phishing436,0,0,0,0,1,2,2,4,0,1,0,1
Phishing437,0,0,0,0,1,1,0,0,0,1,0,1
Phishing438,1,0,1,0,1,5,6,4,0,1,0,1
Phishing439,0,0,1,0,1,1,2,4,0,0,0,1
Phishing440,0,0,0,0,1,3,3,3,0,1,0,1
Phishing441,0,0,1,0,1,2,2,3,0,1,0,1
Phishing442,0,0,1,0,1,5,5,4,1,1,0,1
Phishing443,0,0,0,0,1,6,1,3,0,1,0,1
Phishing444,0,0,1,0,1,5,5,4,1,1,0,1
Phishing445,1,0,0,0,1,1,2,3,0,0,0,1
Phishing446,1,0,0,0,1,1,2,3,0,0,0,1
Phishing447,0,0,1,0,1,1,3,5,0,1,0,1
Phishing448,1,0,1,0,1,13,4,23,0,1,0,1
Phishing449,1,0,1,0,1,13,4,23,0,1,0,1
Phishing450,1,0,1,0,1,2,2,4,0,0,0,1
Phishing451,0,0,0,0,1,1,1,2,0,0,0,1
Phishing452,0,0,0,0,1,3,3,3,0,1,0,1
Phishing453,0,0,1,0,1,1,1,3,0,1,0,1
Phishing454,1,0,0,0,1,1,2,3,0,0,0,1
Phishing455,0,0,0,0,1,2,2,3,0,0,0,1
Phishing456,1,0,1,0,1,1,3,5,0,1,0,1
Phishing457,0,0,1,0,1,1,2,2,0,0,0,1
Phishing458,0,0,1,0,1,2,3,5,0,0,0,1
Phishing459,0,0,1,0,1,1,3,5,0,1,0,1
Phishing460,0,0,0,1,1,4,2,4,0,1,0,1
Phishing461,0,0,0,0,0,0,1,1,0,0,0,1
